Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,23943.0,24133.0,22812.5,23176.5,23176.5,533120000
2023-02-25,23176.5,23200.0,22755.0,23154.5,23154.5,254887900
2023-02-26,23154.5,23687.5,23052.0,23548.5,23548.5,312601100
2023-02-27,23548.5,23892.5,23108.0,23479.5,23479.5,398517000
2023-02-28,23479.5,23596.0,23012.0,23130.5,23130.5,294114100
2023-03-01,23130.5,24014.5,23017.0,23630.0,23630.0,419496300
2023-03-02,23630.0,23790.0,23187.0,23453.5,23453.5,309853900
2023-03-03,23453.5,23463.0,21818.0,22351.0,22351.0,511627100
2023-03-04,22351.0,22400.0,22150.0,22338.0,22338.0,156580400
2023-03-05,22338.0,22661.5,22180.5,22419.0,22419.0,284998300
2023-03-06,22419.0,22598.0,22248.0,22396.0,22396.0,292144100
2023-03-07,22396.0,22555.5,21900.0,22187.5,22187.5,429357100
2023-03-08,22187.5,22270.0,21560.5,21683.5,21683.5,414360200
2023-03-09,21683.5,21818.0,20022.5,20347.5,20347.5,641078900
2023-03-10,20347.5,20345.5,19550.0,20186.5,20186.5,623575400
2023-03-11,20186.5,20851.5,19847.0,20606.0,20606.0,481679000
2023-03-12,20606.0,22322.0,20443.5,22179.5,22179.5,615807400
2023-03-13,22179.5,24600.0,21872.0,24194.0,24194.0,965438900
2023-03-14,24194.0,26675.0,23977.5,24733.5,24733.5,1065850300
2023-03-15,24733.5,25299.5,23874.0,24344.5,24344.5,708304900
2023-03-16,24344.5,25238.5,24182.0,25031.5,25031.5,481943600
2023-03-17,25031.5,27823.0,24928.0,27437.0,27437.0,784315500
2023-03-18,27437.0,27774.5,26625.0,26966.0,26966.0,467596200
2023-03-19,26966.0,28450.0,26878.0,28015.5,28015.5,502904300
2023-03-20,28015.5,28557.0,27183.0,27790.5,27790.5,722484600
2023-03-21,27790.5,28517.5,27367.0,28161.5,28161.5,500841600
2023-03-22,28161.5,28938.0,26573.0,27290.5,27290.5,807153800
2023-03-23,27290.5,28878.5,25600.0,28330.0,28330.0,723157100
2023-03-24,28330.0,28413.5,26961.0,27477.5,27477.5,641122900
2023-03-25,27477.5,27888.0,27158.0,27477.0,27477.0,381711500
2023-03-26,27477.0,28244.0,27433.5,27980.0,27980.0,331883700
2023-03-27,27980.0,28029.0,26480.0,27134.5,27134.5,503679500
2023-03-28,27134.5,27514.0,26602.0,27252.0,27252.0,490211400
2023-03-29,27252.0,28659.5,27236.5,28351.5,28351.5,548913100
2023-03-30,28351.5,29197.0,27678.5,28017.0,28017.0,548321500
2023-03-31,28017.0,28656.5,27479.0,28462.5,28462.5,508267900
2023-04-01,28462.5,28823.5,28210.5,28450.0,28450.0,218615100
2023-04-02,28450.0,28537.0,27839.5,28160.0,28160.0,287627500
2023-04-03,28160.0,28534.0,27198.5,27795.0,27795.0,632489600
2023-04-04,27795.0,28465.5,27652.5,28155.0,28155.0,410682600
2023-04-05,28155.0,28789.0,27780.0,28162.0,28162.0,449348900
2023-04-06,28162.0,28183.5,27678.0,28022.0,28022.0,327514800
2023-04-07,28022.0,28100.0,27772.0,27899.0,27899.0,217543700
2023-04-08,27899.0,28170.5,27864.0,27937.5,27937.5,156139500
2023-04-09,27937.5,28538.5,27717.5,28325.5,28325.5,261785700
2023-04-10,28325.5,29856.0,28165.0,29659.0,29659.0,501955100
2023-04-11,29659.0,30580.0,29622.0,30223.0,30223.0,443289000
2023-04-12,30223.0,30497.5,29659.0,29902.5,29902.5,454636700
2023-04-13,29902.5,30637.0,29867.5,30387.0,30387.0,336904700
2023-04-14,30387.0,31059.0,29988.0,30465.0,30465.0,480902000
2023-04-15,30465.0,30599.5,30230.0,30299.5,30299.5,201858800
2023-04-16,30299.5,30584.0,30125.0,30324.5,30324.5,234297900
2023-04-17,30324.5,30334.0,29229.0,29424.5,29424.5,466949100
2023-04-18,29424.5,30489.5,29100.0,30375.5,30375.5,462557700
2023-04-19,30375.5,30408.0,28518.5,28784.0,28784.0,650214600
2023-04-20,28784.0,29090.0,27962.5,28230.0,28230.0,502996300
2023-04-21,28230.0,28353.0,27100.0,27261.0,27261.0,534526600
2023-04-22,27261.0,27874.0,27137.5,27805.0,27805.0,295027200
2023-04-23,27805.0,27808.0,27299.0,27577.0,27577.0,325014300
2023-04-24,27577.0,27996.0,26900.5,27488.5,27488.5,520053400
2023-04-25,27488.5,28392.0,27190.5,28283.5,28283.5,419102600
2023-04-26,28283.5,30041.0,27182.5,28407.5,28407.5,1044757600
2023-04-27,28407.5,29901.5,28374.0,29463.5,29463.5,640016300
2023-04-28,29463.5,29582.5,28895.0,29311.5,29311.5,401166400
2023-04-29,29311.5,29453.0,29036.5,29230.5,29230.5,177500800
2023-04-30,29230.5,29978.0,29105.0,29242.0,29242.0,422248900
2023-05-01,29242.0,29333.0,27610.0,28063.5,28063.5,664932900
2023-05-02,28063.5,28921.5,27866.5,28679.0,28679.0,509040100
2023-05-03,28679.0,29278.5,28090.0,29044.5,29044.5,717253600
2023-05-04,29044.5,29400.0,28670.5,28844.0,28844.0,494628200
2023-05-05,28844.0,29710.0,28701.5,29524.5,29524.5,531717200
2023-05-06,29524.5,29869.0,28363.5,28906.5,28906.5,461751000
2023-05-07,28906.5,29210.0,28465.5,28497.0,28497.0,413980400
2023-05-08,28497.0,28690.0,27325.0,27756.5,27756.5,811958500
2023-05-09,27756.5,27889.5,27387.0,27627.0,27627.0,511973600
2023-05-10,27627.0,28322.0,26741.0,27597.5,27597.5,802247300
2023-05-11,27597.5,27627.5,26695.5,26969.0,26969.0,526924800
2023-05-12,26969.0,27089.5,25800.0,26782.0,26782.0,615742400
2023-05-13,26782.0,27044.5,26680.5,26768.0,26768.0,240408200
2023-05-14,26768.0,27222.0,26550.0,26921.0,26921.0,321416200
2023-05-15,26921.0,27675.0,26688.0,27154.0,27154.0,485350400
2023-05-16,27154.0,27295.0,26823.5,27018.0,27018.0,416534900
2023-05-17,27018.0,27505.5,26518.0,27397.5,27397.5,516747500
2023-05-18,27397.5,27472.5,26328.0,26810.0,26810.0,470895000
2023-05-19,26810.0,27197.5,26602.0,26879.0,26879.0,296415400
2023-05-20,26879.0,27156.0,26820.0,27094.0,27094.0,140444500
2023-05-21,27094.0,27270.0,26619.0,26745.0,26745.0,296187000
2023-05-22,26745.0,27138.5,26500.5,26848.0,26848.0,402071900
2023-05-23,26848.0,27498.0,26790.0,27207.5,27207.5,431843100
2023-05-24,27207.5,27209.5,26080.0,26320.0,26320.0,516863600
2023-05-25,26320.0,26632.0,25859.0,26461.0,26461.0,449140600
2023-05-26,26461.0,26947.5,26324.5,26706.5,26706.5,335626300
2023-05-27,26706.5,26900.0,26538.0,26859.5,26859.5,169574600
2023-05-28,26859.5,28293.0,26767.5,28071.5,28071.5,387561200
2023-05-29,28071.5,28444.0,27531.0,27733.0,27733.0,336147100
2023-05-30,27733.0,28038.0,27543.5,27704.0,27704.0,310039900
2023-05-31,27704.0,27836.0,26795.0,27204.0,27204.0,385748700
2023-06-01,27204.0,27348.5,26586.0,26812.5,26812.5,352116600
2023-06-02,26812.5,27292.0,26468.5,27235.0,27235.0,340297700
2023-06-03,27235.0,27319.0,26910.0,27061.0,27061.0,200928200
2023-06-04,27061.0,27471.0,26954.5,27104.0,27104.0,202927000
2023-06-05,27104.0,27116.5,25390.0,25720.0,25720.0,668727200
2023-06-06,25720.0,27360.0,25344.5,27229.0,27229.0,541623900
2023-06-07,27229.0,27395.5,26113.5,26336.5,26336.5,414123300
2023-06-08,26336.5,26810.0,26205.0,26500.0,26500.0,215039000
2023-06-09,26500.0,26772.5,26268.0,26463.5,26463.5,220143900
2023-06-10,26463.5,26521.5,25359.0,25837.5,25837.5,483662900
2023-06-11,25837.5,26215.0,25629.0,25926.0,25926.0,227546700
2023-06-12,25926.0,26094.0,25603.5,25901.0,25901.0,316937200
2023-06-13,25901.0,26440.0,25710.0,25922.5,25922.5,426398900
2023-06-14,25922.5,26079.0,24781.0,25108.5,25108.5,478174500
2023-06-15,25108.5,25740.0,24754.5,25575.5,25575.5,442619600
2023-06-16,25575.5,26498.0,25149.0,26335.0,26335.0,465576000
2023-06-17,26335.0,26867.0,26162.5,26497.5,26497.5,277788000
2023-06-18,26497.5,26680.0,26250.0,26331.5,26331.5,269602500
2023-06-19,26331.5,27059.0,26243.0,26820.5,26820.5,442645900
2023-06-20,26820.5,28400.5,26624.0,28310.5,28310.5,749177700
2023-06-21,28310.5,30824.5,28272.0,30004.0,30004.0,1070268900
2023-06-22,30004.0,30505.5,29511.5,29886.0,29886.0,526285500
2023-06-23,29886.0,31438.5,29808.5,30698.0,30698.0,718381000
2023-06-24,30698.0,30797.5,30239.0,30535.5,30535.5,232426700
2023-06-25,30535.5,31045.0,30283.0,30470.5,30470.5,284531900
2023-06-26,30470.5,30667.0,29905.0,30250.5,30250.5,435696500
2023-06-27,30250.5,31012.5,30205.5,30684.5,30684.5,532372600
2023-06-28,30684.5,30702.5,29817.0,30058.0,30058.0,544614900
2023-06-29,30058.0,30833.5,30023.0,30435.0,30435.0,452544400
2023-06-30,30435.0,31287.5,29439.5,30464.5,30464.5,938739000
2023-07-01,30464.5,30670.0,30310.5,30587.0,30587.0,170237500
2023-07-02,30587.0,30799.0,30151.0,30607.0,30607.0,306302000
2023-07-03,30607.0,31403.5,30553.5,31154.5,31154.5,531893100
2023-07-04,31154.5,31325.0,30606.5,30751.5,30751.5,378149800
2023-07-05,30751.5,30867.5,30182.0,30485.5,30485.5,321788500
2023-07-06,30485.5,31546.0,29830.5,29888.0,29888.0,829671700
2023-07-07,29888.0,30442.0,29677.5,30344.5,30344.5,428789000
2023-07-08,30344.5,30384.5,30014.0,30274.5,30274.5,180993100
2023-07-09,30274.5,30439.5,30055.0,30162.0,30162.0,226106000
2023-07-10,30162.0,31056.5,29907.0,30415.5,30415.5,595663700
2023-07-11,30415.5,30818.5,30296.5,30615.5,30615.5,371627100
2023-07-12,30615.5,30964.0,30194.0,30371.5,30371.5,412508900
2023-07-13,30371.5,31874.0,30238.0,31470.0,31470.0,855636100
2023-07-14,31470.0,31642.0,29848.5,30299.0,30299.0,640576900
2023-07-15,30299.0,30389.0,30231.0,30288.0,30288.0,151145700
2023-07-16,30288.0,30433.0,30048.5,30228.0,30228.0,245631600
2023-07-17,30228.0,30330.5,29638.0,30132.0,30132.0,431493000
2023-07-18,30132.0,30230.5,29458.0,29853.5,29853.5,455183400
2023-07-19,29853.5,30184.5,29698.0,29894.0,29894.0,362160900
2023-07-20,29894.0,30415.0,29535.0,29793.5,29793.5,483463500
2023-07-21,29793.5,30055.5,29710.0,29890.5,29890.5,305237400
2023-07-22,29890.5,30008.0,29587.5,29777.5,29777.5,213383900
2023-07-23,29777.5,30350.0,29719.5,30070.5,30070.5,354466900
2023-07-24,30070.5,30080.0,28796.5,29159.5,29159.5,572543700
2023-07-25,29159.5,29360.0,29027.5,29215.5,29215.5,295716600
2023-07-26,29215.5,29666.5,29081.0,29333.5,29333.5,430078000
2023-07-27,29333.5,29558.0,29065.5,29204.5,29204.5,281772200
2023-07-28,29204.5,29533.5,29110.0,29303.0,29303.0,352024400
2023-07-29,29303.0,29385.0,29246.0,29348.5,29348.5,120325300
2023-07-30,29348.5,29444.0,29010.0,29265.5,29265.5,253779500
2023-07-31,29265.5,29529.0,29090.0,29215.0,29215.0,391246100
2023-08-01,29215.0,29732.5,28555.0,29697.5,29697.5,616070800
2023-08-02,29697.5,30037.0,28899.5,29167.0,29167.0,585097200
2023-08-03,29167.0,29410.0,28950.0,29177.5,29177.5,270812500
2023-08-04,29177.5,29316.5,28764.5,29074.5,29074.5,287275100
2023-08-05,29074.5,29110.0,28954.5,29057.5,29057.5,102370500
2023-08-06,29057.5,29175.0,28970.0,29061.0,29061.0,159867400
2023-08-07,29061.0,29250.0,28660.0,29185.5,29185.5,423761800
2023-08-08,29185.5,30225.0,29113.5,29759.0,29759.0,443260500
2023-08-09,29759.0,30125.0,29350.0,29553.5,29553.5,428561000
2023-08-10,29553.5,29713.5,29292.0,29429.5,29429.5,266922400
2023-08-11,29429.5,29525.5,29216.0,29390.0,29390.0,224057600
2023-08-12,29390.0,29460.5,29349.0,29404.5,29404.5,81679600
2023-08-13,29404.5,29436.0,29250.0,29273.5,29273.5,150648400
2023-08-14,29273.5,29659.0,29063.0,29398.0,29398.0,531764300
2023-08-15,29398.0,29460.5,29030.0,29160.5,29160.5,295837800
2023-08-16,29160.5,29215.5,28680.0,28685.0,28685.0,410835500
2023-08-17,28685.0,28737.0,24184.0,26590.0,26590.0,1213882600
2023-08-18,26590.0,26801.0,25585.0,26033.0,26033.0,617448900
2023-08-19,26033.0,26255.0,25779.0,26087.0,26087.0,199640200
2023-08-20,26087.0,26287.0,25961.5,26178.5,26178.5,171793100
2023-08-21,26178.5,26463.0,25774.0,26119.0,26119.0,371280200
2023-08-22,26119.0,26130.0,25337.5,26031.5,26031.5,463450000
2023-08-23,26031.5,26818.0,25788.0,26414.5,26414.5,568365200
2023-08-24,26414.5,26555.5,25835.5,26151.5,26151.5,347493400
2023-08-25,26151.5,26292.0,25749.5,26037.0,26037.0,266586700
2023-08-26,26037.0,26100.0,25970.5,25998.0,25998.0,62084500
2023-08-27,25998.0,26156.0,25951.0,26080.0,26080.0,89606600
2023-08-28,26080.0,26228.5,25832.0,26091.5,26091.5,238423600
2023-08-29,26091.5,28139.0,25894.0,27712.0,27712.0,634482800
2023-08-30,27712.0,27752.0,26997.5,27290.5,27290.5,301412900
2023-08-31,27290.5,27569.0,25642.0,25918.0,25918.0,500105500
2023-09-01,25918.0,26130.0,25319.5,25791.0,25791.0,406477100
2023-09-02,25791.0,25968.5,25739.5,25858.5,25858.5,95123100
2023-09-03,25858.5,26135.5,25802.0,25970.0,25970.0,185660100
2023-09-04,25970.0,26100.0,25613.0,25795.5,25795.5,250044500
2023-09-05,25795.5,25878.5,25541.5,25770.5,25770.5,213216800
2023-09-06,25770.5,26120.5,25350.0,25738.5,25738.5,382478300
2023-09-07,25738.5,26419.5,25592.0,26238.0,26238.0,334000000
2023-09-08,26238.0,26431.0,25608.5,25889.5,25889.5,382932900
2023-09-09,25889.5,25923.0,25772.0,25885.0,25885.0,98665100
2023-09-10,25885.0,26005.0,25491.0,25824.0,25824.0,218662100
